,Title,Release_Date,Developers,Summary,Platforms,Genres,Rating,Plays,Playing,Backlogs,Wishlist,Lists,Reviews
54,Bayonetta,"Oct 29, 2009","['Nex Entertainment', 'Sega']","A member of an ancient witch clan and possessing powers beyond the comprehension of mere mortals, Bayonetta faces-off against countless angelic enemies, many reaching epic proportions, in a game of 100% pure, unadulterated all-out action. Outlandish finishing moves are performed with balletic grace as Bayonetta flows from one fight to another. With magnificent over-the-top action taking place in stages that are a veritable theme park of exciting attractions, Bayonetta pushes the limits of the action genre, bringing to life its fast-paced, dynamic climax combat.","['Windows PC', 'Wii U', 'Xbox 360', 'PlayStation 3', 'Nintendo Switch']","['Brawler', 'Shooter']",3.9,14K,675,5.7K,2.5K,1.9K,812
55,Pizza Tower,"Jan 26, 2023",['Tour De Pizza'],"Pizza Tower is a 2D platformer mainly inspired by Wario Land and Earthworm Jim. The game has over-the-top hand-drawn animations and music. You play as Peppino Spaghetti, a manic pizza man with many abilities like charging, super jumping and dashing. Peppino has to go up each floor of the tower by finding keys, saving toppins folks and getting as many points as possible!",['Windows PC'],"['Indie', 'Platform']",4.4,2.2K,428,1.4K,2K,624,630
56,The Elder Scrolls V: Skyrim,"Nov 10, 2011","['Bethesda Softworks', 'Bethesda Game Studios']","Skyrim reimagines and revolutionizes the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. Play any type of character you can imagine, and do whatever you want; the legendary freedom of choice, storytelling, and adventure of The Elder Scrolls is realized like never before.","['Windows PC', 'Xbox 360', 'PlayStation 3']","['Adventure', 'RPG']",3.8,26K,689,3.5K,1.2K,2K,1.2K
57,Devil May Cry 5,"Mar 08, 2019","['Capcom', 'Capcom Development Division 1']","Devil May Cry 5 is a brand-new entry in the legendary over-the-top action series Devil May Cry. The game features three playable characters, each with a radically different stylish combat play style as they take on the city overrun with demons. Developed with Capcom’s in-house proprietary RE engine, the series continues to achieve new heights in fidelity with graphics that utilize photorealistic character designs and stunning lighting and environmental effects.","['Windows PC', 'PlayStation 4', 'Xbox One']","['Adventure', 'Brawler']",4.3,14K,586,4.8K,2.7K,2.2K,1K
58,The Legend of Zelda: Ocarina of Time,"Nov 21, 1998","['Nintendo EAD', 'Nintendo']","The Legend of Zelda: Ocarina of Time is the fifth main installment of The Legend of Zelda series and the first to be released for the Nintendo 64. It was one of the most highly anticipated games of its age, and is listed among the greatest video games ever created by numerous websites and magazines. The gameplay of Ocarina of Time was revolutionary for its time, it has arguably made more of an impact on later games in the series than any of its predecessors even though they had the same cores of exploration, dungeons, puzzles and item usage. Among the gameplay mechanics, one of the most noteworthy is the time-traveling system. The game begins with the player controlling the child Link, but later on an adult Link becomes a playable character as well and each of them has certain unique abilities. Ocarina of Time also introduces the use of music to solve puzzles: as new songs are learned, they can be used to solve puzzles, gain access to new areas and warp to different locations. Dungeon exploration is somewhat more puzzle-oriented than in earlier games but they are not too complex.","['Wii U', 'Wii', 'Nintendo 64']","['Adventure', 'RPG']",4.3,20K,543,3.5K,1.6K,2.6K,958
59,Overwatch 2,"Oct 04, 2022",['Blizzard Entertainment'],"Reunite and stand together in a new age of heroes. Overwatch 2 builds on an award-winning foundation of epic competitive play, and challenges the worldâ€™s heroes to team up, power up, and take on an overwhelming outbreak of threats around the globe.","['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series']",['Shooter'],2.6,9K,1.2K,357,176,595,1.1K
60,Persona 5,"Sep 15, 2016","['Atlus', 'Atlus USA']","Persona 5, a turn-based JRPG with visual novel elements, follows a high school student with a criminal record for a crime he didn't commit. Soon he meets several characters who share similar fates to him, and discovers a metaphysical realm which allows him and his friends to channel their pent-up frustrations into becoming a group of vigilantes reveling in aesthetics and rebellion while fighting corruption.","['PlayStation 4', 'PlayStation 3']","['Adventure', 'RPG', 'Turn Based Strategy']",4.1,18K,661,3.1K,1.8K,2K,1.2K
61,Shin Megami Tensei V,"Nov 12, 2021","['Sega', 'Atlus']","Shin Megami Tensei V, the fifth numbered game of the Shin Megami Tensei series, is a role-playing video game set in modern-day Tokyo. It will feature returning gameplay elements from previous games, such as the ability to fuse demons, along with new mechanics.",['Nintendo Switch'],"['Adventure', 'RPG', 'Turn Based Strategy']",3.8,4.7K,1K,3.9K,2.8K,1.1K,641
62,Final Fantasy VII Remake,"Apr 10, 2020",['Square Enix'],"A spectacular re-imagining of one of the most visionary games ever, Final Fantasy VII Remake rebuilds and expands the legendary RPG for today. The first game in this project is set in the eclectic city of Midgar and presents a fully standalone gaming experience.","['PlayStation 4', 'PlayStation 5']","['Adventure', 'RPG']",4.1,13K,998,4.8K,2.5K,2.3K,959
63,Neon White,"Jun 16, 2022","['Ben Esposito', 'Annapurna Interactive']","Neon White is a lightning fast first-person action game about exterminating demons in Heaven. You are White, an assassin handpicked from Hell to compete with other demon slayers for a chance to live permanently in Heaven. The other assassins seem familiar, though… did you know them in a past life?","['Windows PC', 'PlayStation 4', 'PlayStation 5', 'Nintendo Switch']","['Indie', 'Platform', 'Shooter', 'Visual Novel']",4.1,3.7K,562,2.2K,2.7K,1K,644
64,Fortnite,"Jul 25, 2017",['Epic Games'],"Fortnite is the completely free online game where you and your friends fight to be the last one standing in Battle Royale, join forces to make your own Creative games, or catch a live show at Party Royale.","['Windows PC', 'Android', 'Mac', 'PlayStation 4', 'iOS', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series']","['Adventure', 'RPG', 'Shooter', 'Strategy']",2.8,20K,1.1K,546,54,967,1.4K
65,Dark Souls,"Sep 22, 2011","['Bandai Namco Entertainment', 'FromSoftware']","An action RPG and spiritual sequel to Demon's Souls in which the player embodies the Chosen Undead, who is tasked with fulfilling an ancient prophecy by ringing the Bells of Awakening in the dark fantasy setting of Lordran, an open world with intricate areas full of beasts, former humans gone hollow, and magical abominations whom the player must overcome in challenging and unforgiving combat.","['Windows PC', 'Xbox 360', 'PlayStation 3']","['Adventure', 'RPG']",4.3,16K,479,2.9K,1.6K,2.4K,857
66,Metal Gear Solid,"Sep 03, 1998","['Konami', 'Konami Computer Entertainment Japan']","Metal Gear Solid is a stealth game created by Hideo Kojima which follows the MSX2 video games Metal Gear and Metal Gear 2: Solid Snake. Despite a transition to 3D, Metal Gear Solid's gameplay remains similar to his predecessors. The game utilizes a traditional top-down view and the player must navigate the protagonist Solid Snake through the game's areas without being detected. Detection will set off an alarm which draws armed enemies to his location. Conversations with Snake's allies and cutscenes are used extensively to advance the plot and gain more insight into it. Metal Gear Solid is regarded as one of the greatest and most important video games of all time, and helped popularize the stealth genre and in-engine cinematic cutscenes.","['PlayStation 3', 'PlayStation', 'PlayStation Vita', 'PlayStation Portable']","['Adventure', 'Puzzle', 'Tactical']",4.2,14K,340,3.5K,1.9K,2.3K,795
67,Vampire Survivors,"Dec 17, 2021",['Poncle'],"Mow thousands of night creatures and survive until dawn! Vampire Survivors is a gothic horror casual game with rogue-lite elements, where your choices can allow you to quickly snowball against the hundreds of monsters that get thrown at you.","['Windows PC', 'Android', 'Mac', 'iOS', 'Xbox One', 'Xbox Series']","['Arcade', 'Indie', 'RPG']",3.7,8.1K,1K,899,469,987,878
68,Star Wars Jedi: Fallen Order,"Nov 15, 2019","['Respawn Entertainment', 'Electronic Arts']","Star Wars Jedi: Fallen Order is a narratively driven, single-player game puts you in the role of a Jedi Padawan who narrowly escaped the purge of Order 66 following the events of Episode III: Revenge of the Sith. On a quest to rebuild the Jedi Order, you must pick up the pieces of your shattered past to complete your training, develop new powerful Force abilities and master the art of the iconic lightsaber - all while staying one step ahead of the Empire and its deadly Inquisitors.","['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Google Stadia', 'Xbox Series']",['Adventure'],3.7,16K,904,4.4K,1.5K,1.7K,1.2K
69,Sonic Frontiers,"Nov 08, 2022","['Sega', 'Sonic Team']","Worlds will collide in Sonic the Hedgehog’s newest adventure.
An experience like never before, accelerate to new heights and experience the thrill of high velocity open-zone freedom. Battle powerful enemies as you speed through the Starfall Islands - landscapes brimming with dense forests, overflowing waterfalls, sizzling deserts and more!","['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series']","['Adventure', 'Platform']",3.6,3.7K,526,1.7K,2K,1.1K,912
70,Inscryption,"Oct 19, 2021","['Devolver Digital', 'Daniel Mullins Games']","Inscryption is an inky black card-based odyssey that blends the deckbuilding roguelike, escape-room style puzzles, and psychological horror into a blood-laced smoothie. Darker still are the secrets inscrybed upon the cards...","['Windows PC', 'Mac', 'Linux', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series']","['Adventure', 'Card & Board Game', 'Indie', 'Puzzle', 'Strategy']",4.1,6.5K,611,2.8K,2.6K,1.2K,790
71,BioShock,"Aug 21, 2007","['2K Games', '2K Boston']","BioShock is a horror-themed first-person shooter set in a steampunk underwater dystopia. The player is urged to turn everything into a weapon: biologically modifying their own body with Plasmids, hacking devices and systems, upgrading their weapons, crafting new ammo variants, and experimenting with different battle techniques are all possible. The game is described by the developers as a spiritual successor to their previous PC title System Shock 2. BioShock received high praise in critical reviews for its atmospheric audio and visual quality, absorbing and original plot and its unique gaming experience.","['Windows PC', 'Mac', 'Xbox 360', 'PlayStation 3']","['Adventure', 'Puzzle', 'RPG', 'Shooter']",4,20K,406,4.7K,1.4K,2.1K,744
72,Tunic,"Mar 16, 2022","['Andrew Shouldice', 'Finji']","Tunic is an action adventure about a tiny fox in a big world. Explore the wilderness, discover spooky ruins, and fight terrible creatures from long ago.","['Windows PC', 'Mac', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series']","['Adventure', 'Indie', 'Puzzle', 'RPG']",3.9,4.2K,527,3K,3.1K,1K,582
73,Fall Guys,"Aug 04, 2020","['Devolver Digital', 'Mediatonic']","Fall Guys flings hordes of contestants together online in a mad dash through round after round of escalating chaos until one victor remains! Battle bizarre obstacles, shove through unruly competitors, and overcome the unbending laws of physics to avoid both humiliation and elimination. Leave your dignity at the door and prepare for hilarious failure in your quest for the crown.","['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series']","['Indie', 'Platform', 'Sport']",3,19K,681,693,276,993,1.1K
74,BioShock Infinite,"Feb 26, 2013","['Irrational Games', '2K Games']","BioShock Infinite is the third game in the BioShock series. It is not a direct sequel/prequel to any of the previous BioShock games but takes place in an entirely different setting, although it shares similar features, gameplay and concepts with the previous games. BioShock Infinite features a range of environments that force the player to adapt, with different weapons and strategies for each situation. Interior spaces feature close combat with enemies, but unlike previous games set in Rapture, the setting of Infinite contains open spaces with emphasis on sniping and ranged combat against as many as fifteen enemies at once.","['Windows PC', 'Mac', 'Xbox 360', 'Linux', 'PlayStation 4', 'PlayStation 3', 'Xbox One', 'Nintendo Switch']","['Adventure', 'Shooter']",3.5,20K,236,4.9K,1.1K,1.7K,928
75,Marvel's Spider-Man: Miles Morales,"Nov 12, 2020","['Insomniac Games', 'Sony Interactive Entertainment']",The latest adventure in the Spider-Man universe will build on and expand ‘Marvel’s Spider-Man’ through an all-new story. Players will experience the rise of Miles Morales as he masters new powers to become his own Spider-Man.,"['Windows PC', 'PlayStation 4', 'PlayStation 5']","['Adventure', 'Brawler']",3.9,12K,448,3.3K,3.2K,1.9K,1.2K
76,Yakuza: Like a Dragon,"Jan 16, 2020","['Sega', 'RyuGa Gotoku Studios']","Become Ichiban Kasuga, a low-ranking yakuza grunt left on the brink of death by the man he trusted most. Take up your legendary bat and get ready to crack some underworld skulls in dynamic RPG combat set against the backdrop of modern-day Japan.","['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Xbox Series']","['Adventure', 'RPG', 'Turn Based Strategy']",4.3,6.9K,939,5.6K,3.1K,1.9K,741
77,It Takes Two,"Mar 25, 2021","['Hazelight Studios', 'Electronic Arts']","Embark on the craziest journey of your life in It Takes Two, a genre-bending platform adventure created purely for co-op. Invite a friend to join for free with Friend’s Pass and work together across a huge variety of gleefully disruptive gameplay challenges. Play as the clashing couple Cody and May, two humans turned into dolls by a magic spell. Together, trapped in a fantastical world where the unpredictable hides around every corner, they are reluctantly challenged with saving their fractured relationship.","['Windows PC', 'PlayStation 4', 'Xbox One', 'PlayStation 5', 'Nintendo Switch', 'Xbox Series']","['Adventure', 'Platform', 'Puzzle']",4.2,9.7K,1.1K,2.9K,2.4K,1.5K,855
78,Metroid Prime Remastered,"Feb 08, 2023","['Nintendo', 'Retro Studios']","Get behind the visor of intergalactic bounty hunter Samus Aran in her critically-acclaimed first-person adventure.
Step into the boots of Samus Aran as you navigate the winding paths and interconnected environments of an alluring-yet-dangerous alien planet. Use powers like the iconic Morph Ball and Grapple Beam to revisit hard-to-reach areas and find a path forward. With revamped graphics, sound, unlockable art, and updated control schemes, Samus’ 3D platforming debut has reached greater heights. Calm and capable, Samus takes on this solo mission...but she is far from alone.",['Nintendo Switch'],"['Adventure', 'Platform', 'Shooter']",4.4,2.1K,632,2K,1.9K,654,457
79,Chrono Trigger,"Mar 11, 1995",['Square'],"In this turn-based Japanese RPG, young Crono must travel through time through a misfunctioning teleporter to rescue his misfortunate companion and take part in an intricate web of past and present perils. The adventure that ensues soon unveils an evil force set to destroy the world, triggering Crono's race against time to change the course of history and bring about a brighter future.","['PlayStation 3', 'Super Famicom', 'SNES', 'Wii', 'PlayStation', 'Satellaview']","['Adventure', 'RPG']",4.5,10K,569,5.5K,2.4K,2.2K,520
80,Animal Crossing: New Horizons,"Mar 19, 2020","['Nintendo EPD', 'Nintendo']","Escape to a deserted island and create your own paradise as you explore, create, and customize in Animal Crossing: New Horizons. Your island getaway has a wealth of natural resources that can be used to craft everything from tools to creature comforts. You can hunt down insects at the crack of dawn, decorate your paradise throughout the day, or enjoy sunset on the beach while fishing in the ocean. The time of day and season match real life, so each day on your island is a chance to check in and find new surprises all year round.",['Nintendo Switch'],['Simulator'],3.6,23K,1.9K,1.5K,1.2K,1.8K,1.6K
81,Super Mario World,"Nov 21, 1990","['Nintendo', 'Nintendo EAD']","A 2D platformer and first entry on the SNES in the Super Mario franchise, Super Mario World follows Mario as he attempts to defeat Bowser's underlings and rescue Princess Peach from his clutches. The game features a save system, a less linear world map, an expanded movement arsenal and numerous new items for Mario, alongside new approaches to level design and art direction.","['Wii U', 'Super Famicom', 'SNES', 'Wii', 'Nintendo Switch', 'New Nintendo 3DS']","['Adventure', 'Platform']",4.2,20K,252,2K,524,2.4K,924
82,Metal Gear Solid 2: Sons of Liberty,"Nov 13, 2001","['Konami', 'Konami Computer Entertainment Japan']","Metal Gear Solid 2: Sons of Liberty is the sequel to the espionage action game Metal Gear Solid. Much of the gameplay remains the same, as the game's protagonist has to sneak past guards, outsmart them using various gadgets and defeat the tricky boss enemies. The game expanded its predecessor's cover mechanic, with Solid Snake or Raiden able to take cover behind walls or objects and pop out to shoot at enemies, while the improved enemy AI allowed enemies to also take cover from the player. Metal Gear Solid 2 is considered to be one of the greatest video games of all time, as well as a leading example of artistic expression in video games.",['PlayStation 2'],['Adventure'],4.4,11K,172,3.1K,1.6K,2.1K,666
83,Death Stranding,"Nov 08, 2019","['Sony Interactive Entertainment', 'Kojima Productions']","From legendary game creator Hideo Kojima comes an all-new, genre-defying open world action adventure, starring Norman Reedus, Mads Mikkelsen, Léa Seydoux and Lindsay Wagner.
In the near future, mysterious explosions have rocked the globe, setting off a series of supernatural events known as the Death Stranding. With otherworldly creatures plaguing the landscape, and mass extinction imminent, it’s up to Sam Porter Bridges to travel across the ravaged wasteland and save humanity from impending annihilation.","['Windows PC', 'PlayStation 4']","['Adventure', 'RPG', 'Shooter']",3.9,11K,1.1K,5.8K,2.6K,1.8K,842
84,The Legend of Zelda: Majora's Mask,"Apr 27, 2000","['Nintendo', 'Nintendo EAD']","The Legend of Zelda: Majora's Mask is a direct sequel to Ocarina of Time, it utilizes the same engine and visual style as its predecessor. The game retains the traditional elements of Zelda games as well as those introduced in Ocarina of Time, such as active blocking with a shield, various throwing items, and the usage of melodies played on the ocarina to solve puzzles. Compared to the previous Zelda games, this installment is more oriented towards interaction with NPCs and has a larger variety of items, optional quests, and mini-games. It also includes a time system that spans three days, and this cycle must be reset periodically to progress through the game.","['Wii U', 'Wii', 'Nintendo 64']",['Adventure'],4.4,14K,385,4.6K,2.1K,2.6K,743
85,Resident Evil 7: Biohazard,"Jan 24, 2017",['Capcom'],"Resident Evil 7: Biohazard is the first game of the Resident Evil series to switch from 3rd-person to fully 1st-person perspective. A complete refresh of gameplay systems simultaneously propels the survival horror experience to another level. It is as much horror as it is survival, boosting up scare elements and minimizing downright shooting action. The game allows use of Sony's PSVR Headset to play in VR mode.","['Windows PC', 'PlayStation 4', 'PlayStation VR', 'Xbox One', 'PlayStation 5', 'Google Stadia', 'Xbox Series']","['Adventure', 'Puzzle', 'Shooter']",3.9,16K,391,3.7K,1.5K,2.2K,1K
86,Dark Souls: Remastered,"May 23, 2018","['Bandai Namco Entertainment', 'QLOC']","Dark Souls Remastered is a remastered version of the original game Dark Souls. The updated version of the game features graphical enhancements, an expanded online mode, and the Artorias of the Abyss DLC.","['Windows PC', 'PlayStation 4', 'Xbox One', 'Nintendo Switch']","['Adventure', 'RPG']",4.3,13K,876,3.1K,1.8K,1.6K,944
87,Super Mario Bros.,"Sep 13, 1985","['Nintendo', 'Nintendo R&D4']","A side scrolling 2D platformer and first entry in the Super Mario franchise, Super Mario Bros. follows Italian plumber Mario as he treks across many levels of platforming challenges featuring hostile enemies to rescue Princess Peach from the evil king Bowser.","['Wii U', 'Arcade', 'Wii', 'Family Computer Disk System', 'Nintendo 3DS', 'NES', 'Family Computer (FAMICOM)']","['Adventure', 'Platform']",3.5,20K,75,839,263,1.7K,983
88,The Last of Us,"Jun 14, 2013","['Naughty Dog', 'Sony Computer Entertainment']","A third person shooter/stealth/survival hybrid, in which twenty years after the outbreak of a parasitic fungus which takes over the neural functions of humans, Joel, a Texan with a tragic familial past, finds himself responsible with smuggling a fourteen year old girl named Ellie to a militia group called the Fireflies, while avoiding strict and deadly authorities, infected fungal hosts and other violent survivors.",['PlayStation 3'],"['Adventure', 'Shooter']",4.2,19K,249,2.4K,1.7K,2.4K,815
89,Terraria,"May 16, 2011","['Re-Logic', 'Headup Games']","Dig, Fight, Explore, Build: The very world is at your fingertips as you fight for survival, fortune, and glory. Will you delve deep into cavernous expanses in search of treasure and raw materials with which to craft ever-evolving gear, machinery, and aesthetics? Perhaps you will choose instead to seek out ever-greater foes to test your mettle in combat? Maybe you will decide to construct your own city to house the host of mysterious allies you may encounter along your travels? In the World of Terraria, the choice is yours!","['Windows PC', 'Android', 'Mac', 'Wii U', 'Xbox 360', 'Linux', 'PlayStation 4', 'iOS', 'PlayStation 3', 'Nintendo 3DS', 'Windows Phone', 'Xbox One', 'PlayStation Vita', 'Nintendo Switch', 'Google Stadia']","['Adventure', 'Indie', 'Platform', 'RPG', 'Simulator', 'Strategy']",4,21K,797,2.6K,687,1.4K,1.2K
90,Castlevania: Symphony of the Night,"Mar 20, 1997",['Konami'],"A seminal 2D metroidvania in which after the events of Castlevania: Rondo of Blood (1993), a man named Alucard arrives at Dracula's castle after it rises from the rubble, and seeks to defeat the evil contained within it once and for all by exploring, fighting its inhabitants and collecting the various weapons and abilities hidden in its depths.","['Xbox 360', 'PlayStation 3', 'PlayStation', 'PlayStation Vita']","['Adventure', 'Platform', 'RPG']",4.4,10K,346,3.9K,1.9K,2.1K,714
91,EarthBound,"Aug 27, 1994","['Nintendo', 'Creatures Inc.']","A turn-based JRPG and sequel to then-Japan-only Earthbound Beginnings (1989) in which Ness, a young boy living in a land based on the USA, leaves home to go on an adventure through strange locations, get to know quirky characters and defeat an unknowable alien threat called Giygas while facing up to the realities of growing up and becoming familiar with the real world.","['Wii U', 'Super Famicom', 'SNES', 'New Nintendo 3DS']","['Adventure', 'RPG', 'Turn Based Strategy']",4.2,10K,653,5.5K,2K,2.1K,723
92,Metal Gear Solid V: The Phantom Pain,"Sep 01, 2015","['Konami', 'Kojima Productions']","Metal Gear Solid V: The Phantom Pain is the final game in the Metal Gear series. It is the sequel to Metal Gear Solid V: Ground Zeroes released the year before and a prequel to the original Metal Gear. The game has a complex story with long cut-scene sequences, but there are fewer and they are shorter compared to earlier Metal Gear Solid titles. Most of the gameplay mechanics introduced in Ground Zeroes are carried over: it is still an action game and stealth oriented but replaces the linear corridor design from most earlier titles with large open world environments that offer the player unrestricted freedom for the approach. The world has now a real-time day and night cycle and various weather effects that influence enemy behaviour, visibility and sound. Sabotaging or destroying certain structures can also influence other parts of the map.","['Windows PC', 'Xbox 360', 'PlayStation 4', 'PlayStation 3', 'Xbox One']","['Adventure', 'Shooter', 'Tactical']",3.8,16K,596,5.2K,1.4K,1.7K,922
93,Half-Life 2,"Nov 16, 2004","['Sierra Entertainment', 'Valve']","1998. HALF-LIFE sends a shock through the game industry with its combination of pounding action and continuous, immersive storytelling.
NOW. By taking the suspense, challenge and visceral charge of the original, and adding startling new realism and responsiveness, Half-Life 2 opens the door to a world where the player's presence affects everything around them, from the physical environment to the behaviors even the emotions of both friends and enemies.","['Windows PC', 'Android', 'Mac', 'Xbox', 'Xbox 360', 'Linux', 'PlayStation 3']",['Shooter'],4.3,17K,305,4.2K,1.2K,1.9K,842
94,Super Metroid,"Mar 19, 1994","['Nintendo R&D1', 'Nintendo']","The Space Pirates, merciless agents of the evil Mother Brain, have stolen the last Metroid from a research station, and once again Mother Brain threatens the safety of the galaxy! Samus Aran must don her awesome array of high-tech weaponry to retrieve the deadly Metroid hidden deep within the cave-riddled planet Zebes. Super Metroid features excellent graphics, with a huge variety of enemies and worlds to explore. The side-view action will be familiar to many players, only now there are new weapons and items, including the Grappling Beam, which allows Samus to swing across large chasms, and the X-Ray Scope, which reveals secret passages.","['Wii U', 'Super Famicom', 'SNES', 'Wii', 'New Nintendo 3DS']","['Adventure', 'Platform', 'Shooter']",4.3,12K,331,3.4K,999,2.5K,843
95,Deltarune: Chapter 2,"Sep 17, 2021","['8-4', 'tobyfox']","Deltarune: Chapter 2 is the next installment of the sequel to beloved indie darling Undertale...in a different world! This time around, two more classmates join the protagonists in their adventure as they, too, discover a mysterious world hidden behind a door, called the ""Cyber World"".
Players with no save data will be able to start right at Chapter 2. “As long as you generally remember what happened story-wise, you’ll be fine,” the developers said in an FAQ.","['Windows PC', 'Mac', 'PlayStation 4', 'Nintendo Switch']","['Adventure', 'Indie', 'RPG', 'Turn Based Strategy']",4.3,8.5K,232,2.4K,831,787,855
96,Grand Theft Auto: San Andreas,"Oct 26, 2004","['TransGaming Inc.', 'Rockstar Games']","Returning after his mother's murder to the semi-fictional city of Los Santos (based on Los Angeles), Carl Johnson, a former gang banger, must take back the streets for his family and friends by gaining respect and once again gaining control over the streets. However, a story filled with crime, lies and corruption will lead him to trudge the entire state of San Andreas (based on California and Nevada) to rebuild his life.","['Windows PC', 'Android', 'Mac', 'Xbox', 'Xbox 360', 'PlayStation 4', 'iOS', 'PlayStation 3', 'PlayStation 2']","['Adventure', 'Racing', 'Shooter']",4.1,21K,310,2.7K,846,1.8K,765
97,Mario Kart 8 Deluxe,"Apr 28, 2017","['Nintendo of America', 'Nintendo EPD']","Hit the road with the definitive version of Mario Kart 8 and play anytime, anywhere! Race your friends or battle them in a revised battle mode on new and returning battle courses. Play locally in up to 4-player multiplayer in 1080p while playing in TV Mode. Every track from the Wii U version, including DLC, makes a glorious return. Plus, the Inklings appear as all-new guest characters, along with returning favorites, such as King Boo, Dry Bones, and Bowser Jr.!",['Nintendo Switch'],"['Arcade', 'Racing']",4,22K,840,914,709,1.8K,988
98,Devil May Cry,"Aug 23, 2001","['Capcom Production Studio 4', 'Capcom']","Originally intended to be the fourth installment in the Resident Evil series, Devil May Cry is an action-adventure game that introduced a host of new elements to the gaming community. Chief among them is the Stylish Rank, which grades the player's performance in combat. The game is split into Missions, which are individually scored according to various factors, such as Orbs gathered and damage taken. Additionally, Devil May Cry did away with the pre-rendered backgrounds of prior Resident Evil games in order to allow for a dynamic camera system.",['PlayStation 2'],['Brawler'],3.5,12K,322,2.9K,1.2K,1.4K,735
99,Hotline Miami,"Oct 23, 2012","['Dennaton Games', 'Devolver Digital']","A top-down slasher/shooter with unlockable gameplay-altering masks and weapons, featuring a neon-flavoured electronic aesthetic, in which a hitman receives anonymous calls ordering him to travel to certain residences and crime dens and massacre those within, as he stumbles through unreal visions and inconsistencies without any answers to how, why or who.","['Windows PC', 'Android', 'Mac', 'Linux', 'PlayStation 4', 'PlayStation 3', 'Xbox One', 'PlayStation Vita', 'Nintendo Switch', 'Google Stadia']","['Arcade', 'Indie', 'Shooter']",4,16K,278,2.8K,1.1K,1.6K,819
100,Fire Emblem Engage,"Jan 20, 2023","['Intelligent Systems', 'Nintendo']","Become the Divine Dragon and save the continent of Elyos!
Summon valiant heroes like Marth & Celica alongside a new cast of characters and engage in turn-based, tactical combat against a great evil in this new Fire Emblem story.",['Nintendo Switch'],"['Adventure', 'RPG', 'Strategy', 'Tactical', 'Turn Based Strategy']",3.8,2.4K,841,1.3K,1.3K,764,522
